,Id,Precinct,Violation,2007,2008,2009,2010,2011,2012,2013,2014,Max
1,245,1,CONSUMPTION OF ALCOHOL,137,332,204,223,252,272,473,492,6323
146,391,5,CONSUMPTION OF ALCOHOL,454,556,816,657,576,687,668,732,6323
308,554,6,CONSUMPTION OF ALCOHOL,2679,2707,2519,2859,2576,1439,2671,2356,6323
452,699,7,CONSUMPTION OF ALCOHOL,1189,1406,1641,1412,1734,1400,1215,1144,6323
601,849,9,CONSUMPTION OF ALCOHOL,1435,2119,2170,1712,1648,1911,1481,1490,6323
761,1010,10,CONSUMPTION OF ALCOHOL,1166,1233,1016,1267,1181,919,1166,751,6323
897,1147,13,CONSUMPTION OF ALCOHOL,1968,1720,1330,1406,1183,798,978,1020,6323
1051,1302,14,CONSUMPTION OF ALCOHOL,1970,2592,2883,3831,3207,4174,4749,3872,6323
1232,1484,17,CONSUMPTION OF ALCOHOL,432,633,410,362,553,514,262,175,6323
1367,1620,18,CONSUMPTION OF ALCOHOL,680,786,933,1197,638,902,778,655,6323
1514,1768,19,CONSUMPTION OF ALCOHOL,334,275,522,619,490,367,191,166,6323
1680,1935,20,CONSUMPTION OF ALCOHOL,308,197,233,270,481,356,357,254,6323
1830,2086,22,CONSUMPTION OF ALCOHOL,340,394,349,456,423,569,420,325,6323
1914,2171,23,CONSUMPTION OF ALCOHOL,3637,4365,3599,4591,3118,2166,2130,2263,6323
2082,2340,24,CONSUMPTION OF ALCOHOL,1186,981,978,1125,1010,1113,918,629,6323
2225,2484,25,CONSUMPTION OF ALCOHOL,2447,1898,1655,4416,2321,2513,2805,2850,6323
2408,2668,26,CONSUMPTION OF ALCOHOL,1027,1125,943,1049,1478,1228,1027,430,6323
2558,2819,28,CONSUMPTION OF ALCOHOL,1558,1843,1423,1249,1099,1119,958,822,6323
2728,2990,30,CONSUMPTION OF ALCOHOL,2819,1274,3292,1711,2506,2159,2462,1993,6323
2877,3140,32,CONSUMPTION OF ALCOHOL,3041,3038,2927,3173,2481,1952,2641,2818,6323
3051,3315,33,CONSUMPTION OF ALCOHOL,2464,1745,1689,2041,2618,1969,2426,846,6323
3240,3505,34,CONSUMPTION OF ALCOHOL,2459,3234,3286,2133,2797,2088,2211,2929,6323
3408,3674,40,CONSUMPTION OF ALCOHOL,4999,5711,5459,6187,4138,5137,4099,3460,6323
3601,3868,41,CONSUMPTION OF ALCOHOL,1226,2096,2430,3141,2770,2517,2555,2350,6323
3770,4038,42,CONSUMPTION OF ALCOHOL,3557,3998,5050,5973,2741,3056,2395,3147,6323
3928,4197,43,CONSUMPTION OF ALCOHOL,2773,2312,1889,3151,2982,2383,2037,1644,6323
4110,4380,44,CONSUMPTION OF ALCOHOL,3736,5182,5146,4283,3117,3151,3115,2657,6323
